fighter_id,fighter_detail_url,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,head_strikes_att,head_strikes_succ,body_strikes_att,body_strikes_succ,leg_strikes_att,leg_strikes_succ,distance_strikes_att,distance_strikes_succ,clinch_strikes_att,clinch_strikes_succ,ground_strikes_att,ground_strikes_succ,fight_url,eventurl
Jon Jones,http://ufcstats.com/fighter-details/07f72a2a7591b409,1,128,104,119,96,1,1,0,0,3:51,91,70,18,16,10,10,70,54,3,2,46,40,http://ufcstats.com/fight-details/b35e47f2f58ef026,http://ufcstats.com/event-details/daff32bc96d1eabf
Stipe Miocic,http://ufcstats.com/fighter-details/d28dee5c705991df,0,94,42,89,37,0,0,0,0,0:00,75,24,8,7,6,6,83,32,5,4,1,1,http://ufcstats.com/fight-details/b35e47f2f58ef026,http://ufcstats.com/event-details/daff32bc96d1eabf
Charles Oliveira,http://ufcstats.com/fighter-details/07225ba28ae309b6,0,153,117,122,88,12,5,2,0,14:52,82,56,25,18,15,14,98,67,5,3,19,18,http://ufcstats.com/fight-details/4f4189009a190e35,http://ufcstats.com/event-details/daff32bc96d1eabf
Michael Chandler,http://ufcstats.com/fighter-details/4b93a88f3b1de35b,0,181,150,113,84,1,0,0,0,1:59,85,59,18,16,10,9,89,60,0,0,24,24,http://ufcstats.com/fight-details/4f4189009a190e35,http://ufcstats.com/event-details/daff32bc96d1eabf
Bo Nickal,http://ufcstats.com/fighter-details/35673bf5204524ee,0,85,54,85,54,0,0,0,0,0:00,50,24,16,13,19,17,85,54,0,0,0,0,http://ufcstats.com/fight-details/cfd3e62c638fbd1f,http://ufcstats.com/event-details/daff32bc96d1eabf
Paul Craig,http://ufcstats.com/fighter-details/eabf206b162b3b83,0,130,48,129,47,0,0,0,0,0:00,93,21,23,14,13,12,129,47,0,0,0,0,http://ufcstats.com/fight-details/cfd3e62c638fbd1f,http://ufcstats.com/event-details/daff32bc96d1eabf
Viviane Araujo,http://ufcstats.com/fighter-details/36541f1e6c5d4955,0,152,105,85,48,3,3,1,0,2:25,70,34,5,4,10,10,76,41,1,1,8,6,http://ufcstats.com/fight-details/8545a2495db16538,http://ufcstats.com/event-details/daff32bc96d1eabf
Karine Silva,http://ufcstats.com/fighter-details/9d62c2d8ee151f08,0,155,76,132,58,7,1,1,0,3:30,83,26,19,10,30,22,117,45,13,11,2,2,http://ufcstats.com/fight-details/8545a2495db16538,http://ufcstats.com/event-details/daff32bc96d1eabf
Mauricio Ruffy,http://ufcstats.com/fighter-details/9c393e836a852f30,1,120,74,113,67,0,0,0,0,0:16,97,53,8,6,8,8,101,57,3,3,9,7,http://ufcstats.com/fight-details/55eebc2ee92bf00a,http://ufcstats.com/event-details/daff32bc96d1eabf
James Llontop,http://ufcstats.com/fighter-details/93b2b7caa457cbea,0,260,112,236,90,6,0,0,0,1:20,143,29,62,39,31,22,215,75,21,15,0,0,http://ufcstats.com/fight-details/55eebc2ee92bf00a,http://ufcstats.com/event-details/daff32bc96d1eabf
Jonathan Martinez,http://ufcstats.com/fighter-details/f2477cf43c4975cc,0,109,49,108,48,0,0,0,0,0:57,76,24,8,3,24,21,105,46,3,2,0,0,http://ufcstats.com/fight-details/2a930e2d7e1f87a9,http://ufcstats.com/event-details/daff32bc96d1eabf
Marcus McGhee,http://ufcstats.com/fighter-details/c0ac37a4a1133da9,0,226,105,223,102,0,0,0,0,0:00,167,60,27,18,29,24,220,100,3,2,0,0,http://ufcstats.com/fight-details/2a930e2d7e1f87a9,http://ufcstats.com/event-details/daff32bc96d1eabf
Jim Miller,http://ufcstats.com/fighter-details/d1941565abf50b16,0,25,11,24,10,0,0,1,0,0:00,19,5,2,2,3,3,23,9,1,1,0,0,http://ufcstats.com/fight-details/35c8223cc967fe0a,http://ufcstats.com/event-details/daff32bc96d1eabf
Damon Jackson,http://ufcstats.com/fighter-details/29af297d9f1de0f8,0,31,16,31,16,3,0,0,0,0:27,17,8,12,6,2,2,31,16,0,0,0,0,http://ufcstats.com/fight-details/35c8223cc967fe0a,http://ufcstats.com/event-details/daff32bc96d1eabf
David Onama,http://ufcstats.com/fighter-details/ffe9703408fb5964,1,242,145,213,121,3,1,1,0,4:23,171,91,28,18,14,12,153,85,11,8,49,28,http://ufcstats.com/fight-details/c565e2baa27cc7e5,http://ufcstats.com/event-details/daff32bc96d1eabf
Roberto Romero,http://ufcstats.com/fighter-details/15ea371202eb25e1,1,165,79,155,74,0,0,0,0,1:14,97,30,21,14,37,30,144,68,8,5,3,1,http://ufcstats.com/fight-details/c565e2baa27cc7e5,http://ufcstats.com/event-details/daff32bc96d1eabf
Marcin Tybura,http://ufcstats.com/fighter-details/c9cf753cfdf77fc2,0,187,153,49,35,3,1,0,1,7:14,46,33,2,1,1,1,19,9,0,0,30,26,http://ufcstats.com/fight-details/6c1faa6284428e5d,http://ufcstats.com/event-details/daff32bc96d1eabf
Jhonata Diniz,http://ufcstats.com/fighter-details/25f9a5f3e8a52618,0,44,27,29,15,0,0,0,0,0:36,27,13,1,1,1,1,18,8,1,1,10,6,http://ufcstats.com/fight-details/6c1faa6284428e5d,http://ufcstats.com/event-details/daff32bc96d1eabf
