fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_SLpM,fighter_Str. Acc.,fighter_SApM,fighter_Str. Def,fighter_TD Avg.,fighter_TD Acc.,fighter_TD Def.,fighter_Sub. Avg.,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url
Tom,Aaron,NULL,NULL,155,NULL,,1978-07-13,0.00,0%,0.00,0%,0.00,0%,0%,0.0,5,3,0,NULL,http://ufcstats.com/fighter-details/93fe7332d16c6ad9
Danny,Abbadi,The Assassin,180.34,155,NULL,Orthodox,1983-07-03,3.29,38%,4.41,57%,0.00,0%,77%,0.0,4,6,0,NULL,http://ufcstats.com/fighter-details/15df64c02b6b0fde
Nariman,Abbasov,Bayraktar,172.72,155,167.64,Orthodox,1994-02-01,3.00,20%,5.67,46%,0.00,0%,66%,0.0,28,4,0,NULL,http://ufcstats.com/fighter-details/59a9d6dac61c2540
David,Abbott,Tank,182.88,265,NULL,Switch,NULL,1.35,30%,3.55,38%,1.07,33%,66%,0.0,10,15,0,NULL,http://ufcstats.com/fighter-details/b361180739bed4b0
Hamdy,Abdelwahab,The Hammer,187.96,264,182.88,Southpaw,1993-01-22,3.87,52%,3.13,59%,3.00,75%,0%,0.0,5,0,0,1,http://ufcstats.com/fighter-details/3329d692aea4dc28
Mansur,Abdul-Malik,NULL,187.96,185,200.66,Orthodox,1997-10-07,6.61,54%,4.21,53%,0.00,0%,75%,0.0,7,0,0,NULL,http://ufcstats.com/fighter-details/841695e02c99a521
Shamil,Abdurakhimov,Abrek,190.5,235,193.04,Orthodox,1981-09-02,2.41,44%,3.02,55%,1.01,23%,45%,0.1,20,8,0,NULL,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Hiroyuki,Abe,Abe Ani,167.64000000000001,145,NULL,Orthodox,NULL,1.71,36%,3.11,63%,0.00,0%,33%,0.0,8,15,3,1,http://ufcstats.com/fighter-details/c0ed7b208197e8de
Daichi,Abe,NULL,180.34,170,180.34,Orthodox,1991-11-27,3.80,33%,4.49,56%,0.33,50%,0%,0.0,6,2,0,NULL,http://ufcstats.com/fighter-details/5140122c3eecd307
Papy,Abedi,Makambo,180.34,185,NULL,Southpaw,1978-06-30,2.80,55%,3.15,48%,3.47,57%,50%,1.3,10,4,0,NULL,http://ufcstats.com/fighter-details/c9f6385af6df66d7
Ricardo,Abreu,Demente,180.34,185,NULL,Orthodox,1984-04-27,3.79,31%,3.98,68%,2.13,42%,100%,0.7,5,1,0,NULL,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
Klidson,Abreu,White Bear,182.88,205,187.96,Orthodox,1992-12-24,2.05,40%,2.90,55%,0.64,20%,80%,0.0,15,4,0,1,http://ufcstats.com/fighter-details/7279654c7674cd24
Cyborg,Abreu,NULL,NULL,NULL,NULL,,1980-12-20,0.00,0%,0.00,0%,0.00,0%,0%,0.0,0,0,0,NULL,http://ufcstats.com/fighter-details/f689bd7bbd14b392
Daniel,Acacio,NULL,172.72,180,NULL,Orthodox,1977-12-27,3.52,36%,2.85,62%,0.33,20%,81%,0.0,30,18,0,NULL,http://ufcstats.com/fighter-details/1c5879330d42255f
John,Adajar,The Outlaw,175.26,170,190.5,Orthodox,1991-06-22,3.90,52%,6.28,44%,0.00,0%,0%,0.0,6,2,0,NULL,http://ufcstats.com/fighter-details/989b85f6540c86b1
Scott,Adams,NULL,182.88,225,NULL,Southpaw,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,8,1,0,NULL,http://ufcstats.com/fighter-details/2620f3eb21c79614
Juan,Adams,The Kraken,195.57999999999998,265,203.2,Orthodox,1992-01-16,7.09,55%,4.06,34%,0.91,66%,57%,0.0,5,3,0,NULL,http://ufcstats.com/fighter-details/83b00f7597e5ac83
Anthony,Adams,Sugafoot,185.42,185,193.04,Orthodox,1988-01-13,3.17,41%,5.93,44%,0.00,0%,0%,0.0,8,2,0,NULL,http://ufcstats.com/fighter-details/a77633a989013265
Zarrukh,Adashev,The Lion,165.1,125,165.1,Southpaw,1992-07-29,3.65,40%,3.04,64%,0.00,0%,100%,0.5,4,4,0,NULL,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8
Israel,Adesanya,The Last Stylebender,193.04,185,203.2,Switch,1989-07-22,4.00,48%,3.21,56%,0.05,12%,75%,0.1,24,4,0,NULL,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
