id,f_1_odd,f_2_odd,fight_round,event_city,event_state,f_1_gender,f_2_gender,f_1_weight_class,f_2_weight_class,f_1_fighter_stance,f_2_fighter_stance,f_1_prev_result,f_2_prev_result,age_diff,height_diff,weight_diff,win_ratio_diff,prev_win_streak_continuous_diff,prev_loss_streak_continuous_diff,avg_total_strike_succ_ratio_diff,avg_sig_strikes_succ_ratio_diff,avg_submission_ratio_diff,avg_reversal_ratio_diff,avg_head_strikes_succ_ratio_diff,avg_body_strikes_succ_ratio_diff,avg_leg_strikes_succ_ratio_diff,avg_distance_strikes_succ_ratio_diff,avg_clinch_strikes_succ_ratio_diff,avg_ground_strikes_succ_ratio_diff,label
0,,,3,Cedar Rapids,Iowa,M,M,Heavyweight,Heavyweight,Orthodox,Orthodox,KO/TKO,,-4.710000000000004,-5.079999999999984,0.0,0.6666666666666666,0,1,0.6722425378521606,0.4797872340425532,1.6666666666666667,0.3333333333333333,0.3989715668481548,0.8666666666666667,0.6833333333333333,0.4538593215063803,0.6666666666666666,0.6612903225806451,1
1,,,3,Cedar Rapids,Iowa,M,M,Middleweight,Middleweight,Orthodox,Southpaw,Submission,,2.66,2.539999999999992,15.0,0.3333333333333333,1,0,0.8115053050397878,0.6290909090909091,1.0,0.0,0.28654970760233917,0.85,0.8,0.510989010989011,0.675,0.8333333333333334,1
2,,,5,Cedar Rapids,Iowa,M,M,Welterweight,Welterweight,Orthodox,Orthodox,Decision,,-0.9700000000000024,5.0800000000000125,15.0,1.0,4,0,0.8020604737996042,0.5085858286976762,0.5,0.25,0.2820887445887446,0.7003968253968254,0.7256944444444444,0.3217165898617511,0.75,0.8095238095238095,1
3,,,3,Cedar Rapids,Iowa,M,M,Heavyweight,Heavyweight,Orthodox,Orthodox,Decision,Decision,-0.8900000000000006,2.5400000000000205,11.0,-0.30000000000000004,0,2,0.13259328671516568,0.09630532373954226,-0.44999999999999996,0.04999999999999999,0.06476889866405988,-0.16666666666666663,0.3026960784313726,0.2398672755815614,1.1102230246251565e-16,0.4117063492063492,1
4,,,3,Lake Charles,Louisiana,M,M,Middleweight,Middleweight,Orthodox,Orthodox,Submission,Submission,-6.509999999999998,12.700000000000017,6.0,-0.5,-1,0,-0.13584133584133584,-0.11530612244897953,-2.0,-0.5,-0.16422313606293582,-0.6666666666666667,0.32142857142857145,0.32867132867132864,0.5416666666666667,-0.022727272727272707,1
5,,,5,Lake Charles,Louisiana,M,M,Light Heavyweight,Light Heavyweight,Orthodox,Orthodox,Submission,KO/TKO,2.129999999999999,-12.699999999999989,-20.0,0.25,2,-2,0.09026695186851841,0.16680194805194803,2.0,1.0,0.1420950971582221,0.0888888888888889,0.6141414141414141,0.21321839080459765,0.3916666666666666,0.1366575879363603,1
6,,,3,Chiba,,M,M,Open Weight,Open Weight,Orthodox,Orthodox,,,2.900000000000002,7.6200000000000045,7.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7,,,3,Chiba,,M,M,Open Weight,Open Weight,Orthodox,Southpaw,,KO/TKO,1.7699999999999996,0.0,0.0,0.0,0,0,-0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8,,,3,Chiba,,M,M,Middleweight,Middleweight,Orthodox,Southpaw,KO/TKO,,5.809999999999999,-7.6200000000000045,0.0,1.0,1,0,0.5192307692307693,0.45652173913043476,1.0,0.0,0.375,1.0,0.0,0.3235294117647059,0.7142857142857143,1.0,1
9,,,3,Chiba,,M,M,Middleweight,Middleweight,Orthodox,Southpaw,,Submission,-8.239999999999998,2.539999999999992,9.0,-0.5,0,0,-0.8,-0.6,-2.5,-2.0,-0.5,-0.5,-1.0,-0.5,0.0,-1.0,1
10,,,3,Chiba,,M,M,Heavyweight,Heavyweight,Orthodox,Orthodox,Decision,KO/TKO,-3.91,0.0,-35.0,0.0,0,-1,0.31111111111111117,0.33020637898686683,0.0,0.0,0.19696969696969696,0.0,-1.0,0.1111111111111111,-0.8,0.8181818181818182,1
11,,,3,Chiba,,M,M,Heavyweight,Heavyweight,Orthodox,Orthodox,KO/TKO,KO/TKO,-4.170000000000002,5.079999999999984,16.0,0.25,2,-1,-0.18736198773199553,-0.0740220805515811,-2.0,-0.5,-0.1741362878486069,-0.9,0.3618589743589743,0.02432412358882946,0.11904761904761907,-0.4959677419354839,1
12,,,5,Chiba,,M,M,Heavyweight,Heavyweight,Orthodox,Orthodox,Decision,Submission,3.9200000000000017,-12.699999999999989,-30.0,-0.25,-2,-1,-0.05576106040502332,-0.08808777568608395,-1.0,0.0,0.026298281801668544,-0.30128205128205127,-0.625,-0.2607638888888889,-0.15000000000000002,-0.14861192285213332,1
